Found 222 baseline files, 222 doc files, 222 common files
pandas\pandas_9_fixed.txt: baseline=756, with_docs=756, delta=0 (+0.0%)
pandas\pandas_12_fixed.txt: baseline=1983, with_docs=2809, delta=826 (+41.7%)
other\seaborn_6_fixed.txt: baseline=565, with_docs=1695, delta=1130 (+200.0%)
NBspecific\NBspecific_13_reproduced.txt: baseline=1142, with_docs=2115, delta=973 (+85.2%)
NBspecific\NBspecific_5_fixed.txt: baseline=1159, with_docs=1510, delta=351 (+30.3%)
pandas\pandas_2_reproduced.txt: baseline=1392, with_docs=1699, delta=307 (+22.1%)
NBspecific\NBspecific_12_reproduced.txt: baseline=1735, with_docs=4026, delta=2291 (+132.0%)
tensorflow\tensorflow_2_fixed.txt: baseline=755, with_docs=755, delta=0 (+0.0%)
tensorflow\tensorflow_8_fixed.txt: baseline=2488, with_docs=3859, delta=1371 (+55.1%)
torch\torch_5_reproduced.txt: baseline=2716, with_docs=3375, delta=659 (+24.3%)
tensorflow\tensorflow_5_fixed.txt: baseline=1655, with_docs=2432, delta=777 (+46.9%)
NBspecific\NBspecific_4_fixed.txt: baseline=810, with_docs=4604, delta=3794 (+468.4%)
torch\torch_1_fixed.txt: baseline=1623, with_docs=2009, delta=386 (+23.8%)
pandas\pandas_8_reproduced.txt: baseline=900, with_docs=1106, delta=206 (+22.9%)
tensorflow\tensorflow_14_fixed.txt: baseline=1121, with_docs=2909, delta=1788 (+159.5%)
tensorflow\tensorflow_12_fixed.txt: baseline=1885, with_docs=2661, delta=776 (+41.2%)
torch\torch_11_fixed.txt: baseline=2275, with_docs=2363, delta=88 (+3.9%)
tensorflow\tensorflow_9_fixed.txt: baseline=1266, with_docs=1347, delta=81 (+6.4%)
torch\torch_8_fixed.txt: baseline=2105, with_docs=2500, delta=395 (+18.8%)
torch\torch_4_fixed.txt: baseline=2422, with_docs=2422, delta=0 (+0.0%)
NBspecific\NBspecific_13_fixed.txt: baseline=1077, with_docs=2453, delta=1376 (+127.8%)
numpy\numpy_6_reproduced.txt: baseline=1219, with_docs=1888, delta=669 (+54.9%)
NBspecific\NBspecific_1_reproduced.txt: baseline=342, with_docs=342, delta=0 (+0.0%)
numpy\numpy_2_reproduced.txt: baseline=246, with_docs=246, delta=0 (+0.0%)
pandas\pandas_9_reproduced.txt: baseline=773, with_docs=773, delta=0 (+0.0%)
numpy\numpy_10_fixed.txt: baseline=2183, with_docs=2437, delta=254 (+11.6%)
other\matplotlib_1_fixed.txt: baseline=434, with_docs=2830, delta=2396 (+552.1%)
numpy\numpy_13_fixed.txt: baseline=481, with_docs=645, delta=164 (+34.1%)
NBspecific\NBspecific_6_reproduced.txt: baseline=2298, with_docs=4388, delta=2090 (+90.9%)
sklearn\sklearn_11_fixed.txt: baseline=386, with_docs=1130, delta=744 (+192.7%)
pandas\pandas_15_reproduced.txt: baseline=1256, with_docs=1563, delta=307 (+24.4%)
sklearn\sklearn_7_fixed.txt: baseline=675, with_docs=979, delta=304 (+45.0%)
NBspecific\NBspecific_11_fixed.txt: baseline=1281, with_docs=2125, delta=844 (+65.9%)
NBspecific\NBspecific_16_reproduced.txt: baseline=132, with_docs=132, delta=0 (+0.0%)
numpy\numpy_10_reproduced.txt: baseline=2207, with_docs=2461, delta=254 (+11.5%)
numpy\numpy_3_reproduced.txt: baseline=1169, with_docs=2314, delta=1145 (+97.9%)
other\lightgbm_1_fixed.txt: baseline=2133, with_docs=2562, delta=429 (+20.1%)
NBspecific\NBspecific_17_fixed.txt: baseline=1446, with_docs=1711, delta=265 (+18.3%)
tensorflow\tensorflow_15_fixed.txt: baseline=1120, with_docs=1927, delta=807 (+72.1%)
other\matplotlib_3_reproduced.txt: baseline=1628, with_docs=4611, delta=2983 (+183.2%)
NBspecific\NBspecific_6_fixed.txt: baseline=2432, with_docs=4522, delta=2090 (+85.9%)
other\seaborn_3_reproduced.txt: baseline=1624, with_docs=3421, delta=1797 (+110.7%)
NBspecific\NBspecific_4_reproduced.txt: baseline=122, with_docs=122, delta=0 (+0.0%)
sklearn\sklearn_14_fixed.txt: baseline=1221, with_docs=1372, delta=151 (+12.4%)
torch\torch_9_fixed.txt: baseline=1876, with_docs=1925, delta=49 (+2.6%)
NBspecific\NBspecific_11_reproduced.txt: baseline=1258, with_docs=2102, delta=844 (+67.1%)
