Difference for sas\sas_outputs\results_parsed\pyright\crash_detection_code\sklearn\sklearn_12_reproduced.json: ['[Partially correct]', '[Correct]', '[Correct]', '[Correct]', '[Correct]']
Difference for sas\sas_outputs\results_parsed\pyright\crash_detection_code\other\seaborn_1_fixed.json: ['[Wrong]', '[Wrong]', '[Wrong]', '[Wrong]', '[Correct]']
Difference for sas\sas_outputs\results_parsed\pyright\crash_detection_code_runinfo\torch\torch_7_reproduced.json: ['[Partially correct]', '[Partially correct]', '[Partially correct]', '[Wrong]', '[Partially correct]']
Difference for sas\sas_outputs\results_parsed\pyright\crash_detection_code_runinfo\sklearn\sklearn_12_reproduced.json: ['[Correct]', '[Correct]', '[Partially correct]', '[Correct]', '[Correct]']
Difference for sas\sas_outputs\results_parsed\pyright\crash_detection_code_runinfo\numpy\numpy_10_reproduced.json: ['[Reasoning Wrong]', '[Reasoning Wrong]', '[Reasoning Wrong]', '[Reasoning Wrong]', '[Partially correct]']
Difference for sas\sas_outputs\results_parsed\pyright\crash_detection_code_runinfo\other\seaborn_1_fixed.json: ['[Wrong]', '[Correct]', '[Correct]', '[Wrong]', '[Correct]']
Difference for sas\sas_outputs\results_parsed_reversed\pyright\crash_detection_code\tensorflow\tensorflow_6_reproduced.json: ['[Correct]', '[Correct]', '[Partially correct]', '[Correct]', '[Correct]']
Difference for sas\sas_outputs\results_parsed_reversed\pyright\crash_detection_code\torch\torch_14_fixed.json: ['[Correct]', '[Correct]', '[Wrong]', '[Correct]', '[Correct]']
Difference for sas\sas_outputs\results_parsed_reversed\pyright\crash_detection_code\pandas\pandas_5_fixed.json: ['[Correct]', '[Correct]', '[Correct]', '[Wrong]', '[Correct]']
Difference for sas\sas_outputs\results_parsed_reversed\pyright\crash_detection_code\numpy\numpy_12_reproduced.json: ['[Reasoning Wrong]', '[Partially correct]', '[Partially correct]', '[Partially correct]', '[Wrong]']
Difference for sas\sas_outputs\results_parsed_reversed\pyright\crash_detection_code_runinfo\tensorflow\tensorflow_6_reproduced.json: ['[Partially correct]', '[Correct]', '[Correct]', '[Partially correct]', '[Correct]']
Difference for sas\sas_outputs\results_parsed_reversed\pyright\crash_detection_code_runinfo\torch\torch_2_reproduced.json: ['[Correct]', '[Partially correct]', '[Partially correct]', '[Correct]', '[Correct]']
Difference for sas\sas_outputs\results_parsed_reversed\pyright\crash_detection_code_runinfo\torch\torch_7_reproduced.json: ['[Reasoning Wrong]', '[Reasoning Wrong]', '[Wrong]', '[Reasoning Wrong]', '[Reasoning Wrong]']
Difference for sas\sas_outputs\results_parsed_reversed\pyright\crash_detection_code_runinfo\sklearn\sklearn_4_reproduced.json: ['[Partially correct]', '[Correct]', '[Partially correct]', '[Partially correct]', '[Correct]']
Difference for sas\sas_outputs\results_parsed_reversed\pyright\crash_detection_code_runinfo\other\lightgbm_1_reproduced.json: ['[Reasoning Wrong]', '[Reasoning Wrong]', '[Reasoning Wrong]', '[Reasoning Wrong]', '[Partially correct]']
